NOMBRE1,NOMBRE1_0,NOMBRE2_0,NOMBRE1_3
BENEDICTO,497,305,802
YOVANNI,61,740,801
LELIS,599,200,799
RONEY,214,584,798
AMINDA,438,358,796
ARELI,150,644,794
ADONIS,212,580,792
RAIMUNDA,591,201,792
JIMMY,764,28,792
LIDUVINA,326,460,786
BLASINA,318,467,785
MELBIN,745,40,785
OBED,285,499,784
JUSTINO,589,194,783
ARNOLD,623,157,780
JUSTINIANO,685,91,776
ALEXY,209,566,775
ABILIO,355,420,775
PERFECTO,549,224,773
ONAN,179,591,770
LESLI,745,25,770
PAOLA,296,471,767
MAXIMA,594,172,766
BALBINA,516,248,764
NAHUM,268,494,762
DONATO,316,446,762
BARBARA,522,239,761
CELENIA,329,429,758
ELIGIO,428,330,758
ABELARDO,331,426,757
SILVERIO,586,169,755
LUCY,679,76,755
MIRTA,689,66,755
YOLIBETH,24,730,754
ENGRACIA,97,657,754
LIZANDRO,324,430,754
REINERIO,389,365,754
BRIGIDA,536,217,753
CLAUDINA,409,342,751
TEOFILA,541,204,745
ROSMERY,300,444,744
APOLONIO,539,204,743
POLICARPO,592,151,743
BRAULIO,578,163,741
CELEO,660,76,736
OSMAR,359,376,735
SULMA,716,19,735
ELIBERTO,299,433,732
HIGINIO,489,243,732
MARGOT,105,625,730
MAYNOR,684,46,730
EUCEBIO,517,211,728
WILLIAM,569,157,726
NIMIA,586,140,726
CEFERINO,517,208,725
ARIEL,197,527,724
SANTANA,346,376,722
YOBANI,73,648,721
GISSELA,189,530,719
CINTHIA,718,1,719
ALEIDA,410,303,713
HERMELINDA,462,250,712
BLADIMIR,145,563,708
ZACARIAS,451,256,707
APOLONIA,466,238,704
DALIA,545,158,703
FREDYS,649,53,702
HERLINDA,401,300,701
SERGIA,605,95,700
ROY,592,107,699
JOVANY,82,613,695
SOILA,637,57,694
TRANCITO,451,241,692
SEGUNDO,462,229,691
EZEQUIEL,438,252,690
JENY,675,13,688
OLINDA,309,378,687
RODIMIRO,361,326,687
CIPRIANO,493,194,687
IVETTE,128,557,685
ROSALINDA,601,83,684
RUPERTO,502,181,683
FROILAN,459,222,681
TERENCIO,535,144,679
MONICA,556,123,679
SOBEYDA,238,438,676
DANERY,107,567,674
NERI,412,261,673
ANACLETO,480,192,672
ELADIO,340,331,671
BASILIO,497,174,671
YAJAIRA,267,403,670
SAYDA,659,8,667
INGRIS,656,10,666
EDITA,442,223,665
